,Location,Location_1,distance,rank
197,Arizona,New Hampshire,2233.7,45.0
198,Arizona,New Jersey,2053.42,41.0
199,Arizona,New Mexico,309.34,1.0
200,Arizona,New York,2047.38,40.0
201,Arizona,North Carolina,1804.9,35.0
202,Arizona,North Dakota,1133.2,19.0
203,Arizona,Northern Mariana Islands,6408.02,53.0
204,Arizona,Ohio,1615.28,31.0
205,Arizona,Oklahoma,802.52,9.0
206,Arizona,Oregon,979.81,13.0
207,Arizona,Pennsylvania,1916.42,37.0
208,Arizona,Puerto Rico,2935.01,50.0
209,Arizona,Rhode Island,2230.71,44.0
210,Arizona,South Carolina,1717.98,33.0
211,Arizona,South Dakota,989.98,14.0
212,Arizona,Tennessee,1424.72,26.0
213,Arizona,Texas,726.11,7.0
214,Arizona,Utah,445.44,2.0
215,Arizona,Vermont,2176.59,43.0
216,Arizona,Virgin Islands,3014.17,51.0
217,Arizona,Virginia,1860.28,36.0
218,Arizona,Washington,1091.16,17.0
219,Arizona,West Virginia,1725.87,34.0
220,Arizona,Wisconsin,1377.19,24.0
221,Arizona,Wyoming,708.04,6.0
222,Arkansas,California,1588.09,45.0
223,Arkansas,Colorado,768.77,25.0
224,Arkansas,Connecticut,1173.8,36.0
225,Arkansas,Delaware,976.99,31.0
226,Arkansas,Diamond Princess,6359.48,54.0
227,Arkansas,District of Columbia,6359.48,54.0
228,Arkansas,Florida,709.1,19.0
229,Arkansas,Georgia,525.78,13.0
230,Arkansas,Grand Princess,6359.48,54.0
231,Arkansas,Guam,7428.29,57.0
232,Arkansas,Hawaii,3975.58,51.0
233,Arkansas,Idaho,1322.24,42.0
234,Arkansas,Illinois,379.76,7.0
235,Arkansas,Indiana,480.53,11.0
236,Arkansas,Iowa,491.5,12.0
237,Arkansas,Kansas,397.21,8.0
238,Arkansas,Kentucky,458.99,10.0
239,Arkansas,Louisiana,289.91,4.0
240,Arkansas,Maine,1383.65,43.0
241,Arkansas,Maryland,918.87,27.0
242,Arkansas,Massachusetts,1253.71,40.0
243,Arkansas,Michigan,725.99,22.0
244,Arkansas,Minnesota,712.73,20.0
245,Arkansas,Mississippi,224.66,1.0
246,Arkansas,Missouri,239.28,2.0
247,Arkansas,Montana,1226.76,37.0
248,Arkansas,Nebraska,545.74,14.0
249,Arkansas,Nevada,1418.39,44.0
250,Arkansas,New Hampshire,1264.91,41.0
251,Arkansas,New Jersey,1041.57,32.0
252,Arkansas,New Mexico,757.11,24.0
253,Arkansas,New York,1077.97,34.0
254,Arkansas,North Carolina,745.76,23.0
255,Arkansas,North Dakota,938.55,29.0
256,Arkansas,Northern Mariana Islands,7307.02,56.0
257,Arkansas,Ohio,637.27,15.0
258,Arkansas,Oklahoma,265.46,3.0
259,Arkansas,Oregon,1682.13,46.0
260,Arkansas,Pennsylvania,919.48,28.0
261,Arkansas,Puerto Rico,1971.86,48.0
262,Arkansas,Rhode Island,1232.83,39.0
263,Arkansas,South Carolina,656.9,16.0
264,Arkansas,South Dakota,715.74,21.0
265,Arkansas,Tennessee,368.17,6.0
266,Arkansas,Texas,414.98,9.0
267,Arkansas,Utah,1101.38,35.0
268,Arkansas,Vermont,1228.45,38.0
269,Arkansas,Virgin Islands,2039.83,49.0
270,Arkansas,Virginia,814.1,26.0
271,Arkansas,Washington,1687.82,47.0
272,Arkansas,West Virginia,703.77,18.0
273,Arkansas,Wisconsin,669.53,17.0
274,Arkansas,Wyoming,949.63,30.0
275,California,Colorado,835.07,9.0
276,California,Connecticut,2554.21,45.0
277,California,Delaware,2442.15,42.0
278,California,Diamond Princess,7869.25,56.0
279,California,District of Columbia,7869.25,56.0
280,California,Florida,2281.38,35.0
281,California,Georgia,2113.71,32.0
282,California,Grand Princess,7869.25,56.0
283,California,Guam,5892.19,54.0
284,California,Hawaii,2436.35,41.0
285,California,Idaho,516.93,4.0
286,California,Illinois,1706.1,22.0
287,California,Indiana,1862.04,25.0
288,California,Iowa,1477.48,18.0
289,California,Kansas,1233.69,13.0
290,California,Kentucky,1955.5,30.0
291,California,Louisiana,1724.22,23.0
292,California,Maine,2669.88,49.0
293,California,Maryland,2373.53,39.0
294,California,Massachusetts,2614.32,48.0
295,California,Michigan,1907.1,26.0
296,California,Minnesota,1450.95,17.0
297,California,Mississippi,1793.34,24.0
298,California,Missouri,1532.25,19.0
299,California,Montana,829.39,8.0
300,California,Nebraska,1206.36,11.0
301,California,Nevada,189.7,1.0
302,California,New Hampshire,2586.23,46.0
303,California,New Jersey,2458.23,43.0
304,California,New Mexico,870.27,10.0
305,California,New York,2412.7,40.0
306,California,North Carolina,2290.39,36.0
307,California,North Dakota,1242.37,14.0
308,California,Northern Mariana Islands,5775.92,53.0
309,California,Ohio,2023.78,31.0
310,California,Oklahoma,1324.6,15.0
311,California,Oregon,464.0,2.0
312,California,Pennsylvania,2315.05,37.0
313,California,Puerto Rico,3535.86,50.0
314,California,Rhode Island,2611.38,47.0
315,California,South Carolina,2231.63,34.0
316,California,South Dakota,1218.73,12.0
317,California,Tennessee,1919.54,27.0
318,California,Texas,1332.05,16.0
319,California,Utah,510.69,3.0
320,California,Vermont,2514.86,44.0
321,California,Virgin Islands,3610.25,51.0
322,California,Virginia,2316.96,38.0
323,California,Washington,631.06,5.0
324,California,West Virginia,2161.18,33.0
325,California,Wisconsin,1676.3,21.0
326,California,Wyoming,812.83,7.0
327,Colorado,Connecticut,1745.14,43.0
328,Colorado,Delaware,1615.12,40.0
329,Colorado,Diamond Princess,7049.31,56.0
330,Colorado,District of Columbia,7049.31,56.0
331,Colorado,Florida,1475.89,35.0
332,Colorado,Georgia,1289.68,31.0
333,Colorado,Grand Princess,7049.31,56.0
334,Colorado,Guam,6664.58,54.0
335,Colorado,Hawaii,3262.11,51.0
336,Colorado,Idaho,577.61,9.0
337,Colorado,Illinois,877.39,19.0
338,Colorado,Indiana,1034.4,25.0
339,Colorado,Iowa,673.69,14.0
340,Colorado,Kansas,398.66,4.0
341,Colorado,Kentucky,1120.87,28.0
342,Colorado,Louisiana,954.99,22.0
343,Colorado,Maine,1887.48,47.0
344,Colorado,Maryland,1547.29,38.0
345,Colorado,Massachusetts,1811.09,46.0
346,Colorado,Michigan,1116.7,27.0
347,Colorado,Minnesota,717.15,16.0
348,Colorado,Mississippi,985.77,24.0
349,Colorado,Missouri,697.43,15.0
350,Colorado,Montana,599.0,10.0
351,Colorado,Nebraska,400.76,5.0
352,Colorado,Nevada,656.27,13.0
353,Colorado,New Hampshire,1792.21,44.0
354,Colorado,New Jersey,1639.83,41.0
355,Colorado,New Mexico,292.28,2.0
356,Colorado,New York,1610.85,39.0
357,Colorado,North Carolina,1455.32,34.0
358,Colorado,North Dakota,649.85,12.0
359,Colorado,Northern Mariana Islands,6544.33,53.0
360,Colorado,Ohio,1200.71,30.0
361,Colorado,Oklahoma,516.72,8.0
362,Colorado,Oregon,926.5,21.0
363,Colorado,Pennsylvania,1497.92,37.0
364,Colorado,Puerto Rico,2738.89,49.0
365,Colorado,Rhode Island,1803.83,45.0
366,Colorado,South Carolina,1399.16,33.0
367,Colorado,South Dakota,496.38,7.0
368,Colorado,Tennessee,1085.71,26.0
369,Colorado,Texas,625.66,11.0
370,Colorado,Utah,333.65,3.0
371,Colorado,Vermont,1728.07,42.0
372,Colorado,Virgin Islands,2808.04,50.0
373,Colorado,Virginia,1484.18,36.0
374,Colorado,Washington,959.41,23.0
375,Colorado,West Virginia,1331.72,32.0
376,Colorado,Wisconsin,903.93,20.0
377,Colorado,Wyoming,291.83,1.0
378,Connecticut,Delaware,249.4,7.0
379,Connecticut,Diamond Princess,5315.23,53.0
380,Connecticut,District of Columbia,5315.23,53.0
381,Connecticut,Florida,1004.16,24.0
382,Connecticut,Georgia,863.48,20.0
383,Connecticut,Grand Princess,5315.23,53.0
384,Connecticut,Guam,7971.77,57.0
385,Connecticut,Hawaii,4989.32,51.0
386,Connecticut,Idaho,2126.37,44.0
387,Connecticut,Illinois,881.64,21.0
388,Connecticut,Indiana,728.5,18.0
389,Connecticut,Iowa,1077.76,25.0
390,Connecticut,Kansas,1371.45,33.0
391,Connecticut,Kentucky,715.98,17.0
392,Connecticut,Louisiana,1303.95,30.0
393,Connecticut,Maine,255.97,8.0
394,Connecticut,Maryland,276.55,10.0
395,Connecticut,Massachusetts,83.52,2.0
396,Connecticut,Michigan,653.05,15.0
397,Connecticut,Minnesota,1128.74,28.0
398,Connecticut,Mississippi,1116.25,27.0
399,Connecticut,Missouri,1085.96,26.0
400,Connecticut,Montana,1879.64,42.0
401,Connecticut,Nebraska,1351.52,32.0
402,Connecticut,Nevada,2365.33,46.0
403,Connecticut,New Hampshire,137.08,3.0
404,Connecticut,New Jersey,140.91,4.0
405,Connecticut,New Mexico,1863.98,41.0
406,Connecticut,New York,152.22,5.0
407,Connecticut,North Carolina,545.0,13.0
408,Connecticut,North Dakota,1407.47,35.0
409,Connecticut,Northern Mariana Islands,7843.82,56.0
410,Connecticut,Ohio,556.28,14.0
411,Connecticut,Oklahoma,1392.27,34.0
412,Connecticut,Oregon,2462.47,48.0
413,Connecticut,Pennsylvania,256.58,9.0
414,Connecticut,Puerto Rico,1640.44,37.0
415,Connecticut,Rhode Island,59.84,1.0
416,Connecticut,South Carolina,694.26,16.0
417,Connecticut,South Dakota,1347.7,31.0
418,Connecticut,Tennessee,826.12,19.0
419,Connecticut,Texas,1588.67,36.0
420,Connecticut,Utah,2046.05,43.0
421,Connecticut,Vermont,185.16,6.0
422,Connecticut,Virgin Islands,1655.11,38.0
423,Connecticut,Virginia,416.74,11.0
424,Connecticut,Washington,2387.79,47.0
425,Connecticut,West Virginia,471.83,12.0
426,Connecticut,Wisconsin,890.0,22.0
427,Connecticut,Wyoming,1753.62,40.0
428,Delaware,Diamond Princess,5434.41,53.0
429,Delaware,District of Columbia,5434.41,53.0
430,Delaware,Florida,755.31,23.0
431,Delaware,Georgia,618.83,20.0
432,Delaware,Grand Princess,5434.41,53.0
433,Delaware,Guam,8010.02,57.0
434,Delaware,Hawaii,4876.46,51.0
435,Delaware,Idaho,2047.65,45.0
436,Delaware,Illinois,737.74,21.0
437,Delaware,Indiana,580.83,17.0
438,Delaware,Iowa,973.13,27.0
439,Delaware,Kansas,1225.35,32.0
440,Delaware,Kentucky,521.38,16.0
441,Delaware,Louisiana,1076.36,30.0
442,Delaware,Maine,505.04,15.0
443,Delaware,Maryland,69.42,1.0
444,Delaware,Massachusetts,330.3,10.0
445,Delaware,Michigan,604.78,18.0
446,Delaware,Minnesota,1071.13,29.0
447,Delaware,Mississippi,891.96,25.0
448,Delaware,Missouri,928.1,26.0
449,Delaware,Montana,1827.35,42.0
450,Delaware,Nebraska,1237.31,33.0
451,Delaware,Nevada,2255.95,46.0
452,Delaware,New Hampshire,382.76,11.0
453,Delaware,New Jersey,119.1,2.0
454,Delaware,New Mexico,1701.03,41.0
455,Delaware,New York,273.91,6.0
456,Delaware,North Carolina,297.24,9.0
457,Delaware,North Dakota,1368.53,35.0
458,Delaware,Northern Mariana Islands,7882.78,56.0
459,Delaware,Ohio,419.99,13.0
460,Delaware,Oklahoma,1214.53,31.0
461,Delaware,Oregon,2396.69,48.0
462,Delaware,Pennsylvania,176.46,4.0
463,Delaware,Puerto Rico,1508.25,37.0
464,Delaware,Rhode Island,295.52,8.0
465,Delaware,South Carolina,446.36,14.0
466,Delaware,South Dakota,1268.83,34.0
467,Delaware,Tennessee,614.16,19.0
468,Delaware,Texas,1387.59,36.0
469,Delaware,Utah,1931.47,43.0
470,Delaware,Vermont,405.13,12.0
471,Delaware,Virgin Islands,1535.79,38.0
472,Delaware,Virginia,175.2,3.0
473,Delaware,Washington,2339.44,47.0
474,Delaware,West Virginia,285.19,7.0
475,Delaware,Wisconsin,833.06,24.0
476,Delaware,Wyoming,1663.1,40.0
477,Diamond Princess,District of Columbia,0.0,1.5
478,Diamond Princess,Florida,5757.49,20.0
479,Diamond Princess,Georgia,5853.79,22.0
480,Diamond Princess,Grand Princess,0.0,1.5
481,Diamond Princess,Guam,9864.52,54.0
482,Diamond Princess,Hawaii,10303.93,56.0
483,Diamond Princess,Idaho,7426.68,48.0
484,Diamond Princess,Illinois,6172.01,28.0
485,Diamond Princess,Indiana,6014.93,26.0
486,Diamond Princess,Iowa,6391.87,34.0
487,Diamond Princess,Kansas,6658.58,38.0
488,Diamond Princess,Kentucky,5939.4,23.0
489,Diamond Princess,Louisiana,6327.48,31.0
490,Diamond Princess,Maine,5212.69,5.0
491,Diamond Princess,Maryland,5502.05,14.0
492,Diamond Princess,Massachusetts,5256.48,6.0
493,Diamond Princess,Michigan,5964.66,24.0
494,Diamond Princess,Minnesota,6431.33,35.0
495,Diamond Princess,Mississippi,6195.01,29.0
496,Diamond Princess,Missouri,6359.38,32.0
497,Diamond Princess,Montana,7150.98,45.0
498,Diamond Princess,Nebraska,6664.04,39.0
499,Diamond Princess,Nevada,7680.54,50.0
500,Diamond Princess,New Hampshire,5288.31,8.0
501,Diamond Princess,New Jersey,5412.08,11.0
502,Diamond Princess,New Mexico,7114.93,44.0
503,Diamond Princess,New York,5457.98,13.0
504,Diamond Princess,North Carolina,5617.83,17.0
505,Diamond Princess,North Dakota,6680.42,40.0
506,Diamond Princess,Northern Mariana Islands,9881.55,55.0
507,Diamond Princess,Ohio,5849.26,21.0
508,Diamond Princess,Oklahoma,6620.0,36.0
509,Diamond Princess,Oregon,7737.46,51.0
510,Diamond Princess,Pennsylvania,5555.0,15.0
511,Diamond Princess,Puerto Rico,4673.48,4.0
512,Diamond Princess,Rhode Island,5258.33,7.0
513,Diamond Princess,South Carolina,5704.09,18.0
514,Diamond Princess,South Dakota,6658.31,37.0
515,Diamond Princess,Tennessee,5997.97,25.0
516,Diamond Princess,Texas,6723.63,41.0
517,Diamond Princess,Utah,7360.03,46.0
518,Diamond Princess,Vermont,5363.14,10.0
519,Diamond Princess,Virgin Islands,4580.92,3.0
520,Diamond Princess,Virginia,5571.42,16.0
521,Diamond Princess,Washington,7629.18,49.0
522,Diamond Princess,West Virginia,5718.56,19.0
523,Diamond Princess,Wisconsin,6198.54,30.0
524,Diamond Princess,Wyoming,7066.02,43.0
525,District of Columbia,Florida,5757.49,20.0
526,District of Columbia,Georgia,5853.79,22.0
527,District of Columbia,Grand Princess,0.0,1.5
528,District of Columbia,Guam,9864.52,54.0
529,District of Columbia,Hawaii,10303.93,56.0
530,District of Columbia,Idaho,7426.68,48.0
531,District of Columbia,Illinois,6172.01,28.0
532,District of Columbia,Indiana,6014.93,26.0
533,District of Columbia,Iowa,6391.87,34.0
534,District of Columbia,Kansas,6658.58,38.0
535,District of Columbia,Kentucky,5939.4,23.0
536,District of Columbia,Louisiana,6327.48,31.0
537,District of Columbia,Maine,5212.69,5.0
538,District of Columbia,Maryland,5502.05,14.0
539,District of Columbia,Massachusetts,5256.48,6.0
540,District of Columbia,Michigan,5964.66,24.0
541,District of Columbia,Minnesota,6431.33,35.0
542,District of Columbia,Mississippi,6195.01,29.0
543,District of Columbia,Missouri,6359.38,32.0
544,District of Columbia,Montana,7150.98,45.0
545,District of Columbia,Nebraska,6664.04,39.0
546,District of Columbia,Nevada,7680.54,50.0
547,District of Columbia,New Hampshire,5288.31,8.0
548,District of Columbia,New Jersey,5412.08,11.0
549,District of Columbia,New Mexico,7114.93,44.0
550,District of Columbia,New York,5457.98,13.0
551,District of Columbia,North Carolina,5617.83,17.0
552,District of Columbia,North Dakota,6680.42,40.0
553,District of Columbia,Northern Mariana Islands,9881.55,55.0
554,District of Columbia,Ohio,5849.26,21.0
555,District of Columbia,Oklahoma,6620.0,36.0
556,District of Columbia,Oregon,7737.46,51.0
557,District of Columbia,Pennsylvania,5555.0,15.0
558,District of Columbia,Puerto Rico,4673.48,4.0
559,District of Columbia,Rhode Island,5258.33,7.0
560,District of Columbia,South Carolina,5704.09,18.0
561,District of Columbia,South Dakota,6658.31,37.0
562,District of Columbia,Tennessee,5997.97,25.0
563,District of Columbia,Texas,6723.63,41.0
564,District of Columbia,Utah,7360.03,46.0
565,District of Columbia,Vermont,5363.14,10.0
566,District of Columbia,Virgin Islands,4580.92,3.0
567,District of Columbia,Virginia,5571.42,16.0
568,District of Columbia,Washington,7629.18,49.0
569,District of Columbia,West Virginia,5718.56,19.0
570,District of Columbia,Wisconsin,6198.54,30.0
571,District of Columbia,Wyoming,7066.02,43.0
572,Florida,Georgia,249.42,1.0
573,Florida,Grand Princess,5757.49,53.0
574,Florida,Guam,8137.31,57.0
575,Florida,Hawaii,4618.03,51.0
576,Florida,Idaho,2030.42,45.0
577,Florida,Illinois,816.95,16.0
578,Florida,Indiana,753.25,13.0
579,Florida,Iowa,1072.5,26.0
580,Florida,Kansas,1103.04,28.0
581,Florida,Kentucky,586.9,8.0
582,Florida,Louisiana,576.58,7.0
583,Florida,Maine,1260.11,33.0
584,Florida,Maryland,744.6,12.0
585,Florida,Massachusetts,1083.03,27.0
586,Florida,Michigan,1002.51,22.0
587,Florida,Minnesota,1275.87,35.0
588,Florida,Mississippi,490.53,5.0
589,Florida,Missouri,859.64,18.0
590,Florida,Montana,1915.16,44.0
591,Florida,Nebraska,1227.65,32.0
592,Florida,Nevada,2118.48,46.0
593,Florida,New Hampshire,1137.98,30.0
594,Florida,New Jersey,871.56,19.0
595,Florida,New Mexico,1421.89,38.0
596,Florida,New York,1003.56,23.0
597,Florida,North Carolina,471.01,4.0
598,Florida,North Dakota,1559.74,40.0
599,Florida,Northern Mariana Islands,8015.88,56.0
600,Florida,Ohio,759.08,15.0
601,Florida,Oklahoma,961.83,20.0
602,Florida,Oregon,2390.9,48.0
603,Florida,Pennsylvania,838.88,17.0
604,Florida,Puerto Rico,1263.09,34.0
605,Florida,Rhode Island,1045.78,25.0
606,Florida,South Carolina,332.68,2.0
607,Florida,South Dakota,1364.96,37.0
608,Florida,Tennessee,504.44,6.0
609,Florida,Texas,981.89,21.0
610,Florida,Utah,1806.66,43.0
611,Florida,Vermont,1152.81,31.0
612,Florida,Virgin Islands,1332.57,36.0
613,Florida,Virginia,604.11,9.0
614,Florida,Washington,2391.71,49.0
615,Florida,West Virginia,663.0,10.0
616,Florida,Wisconsin,1114.06,29.0
617,Florida,Wyoming,1652.93,41.0
618,Georgia,Grand Princess,5853.79,53.0
619,Georgia,Guam,7930.49,57.0
620,Georgia,Hawaii,4493.51,51.0
621,Georgia,Idaho,1825.81,45.0
622,Georgia,Illinois,570.62,14.0
623,Georgia,Indiana,504.35,11.0
624,Georgia,Iowa,831.75,23.0
625,Georgia,Kansas,901.19,27.0
626,Georgia,Kentucky,339.04,6.0
627,Georgia,Louisiana,495.11,10.0
628,Georgia,Maine,1113.83,34.0
629,Georgia,Maryland,588.18,15.0
630,Georgia,Massachusetts,946.41,29.0
631,Georgia,Michigan,759.48,20.0
632,Georgia,Minnesota,1030.13,33.0
633,Georgia,Mississippi,341.34,7.0
634,Georgia,Missouri,634.35,17.0
635,Georgia,Montana,1690.47,44.0
636,Georgia,Nebraska,1006.58,32.0
637,Georgia,Nevada,1942.74,46.0
638,Georgia,New Hampshire,988.36,31.0
639,Georgia,New Jersey,723.37,19.0
640,Georgia,New Mexico,1275.89,36.0
641,Georgia,New York,830.83,22.0
642,Georgia,North Carolina,323.21,5.0
